economy,year,gdp_per_capita,gdp_growth_rate,unemployment_rate,inflation_rate,life_expectancy_at_birth,infant_mortality_rate,population_growth_rate,literacy_rate,govt_expenditure_on_education,pupil_teacher_ratio
GBR,2011,42462.1067349807,1.14510154098662,8.038,3.8561124468282,80.9512195121951,5.0,0.781506562236639,,5.57218980789185,17.2654
GBR,2012,42805.8425172666,1.51293674929991,7.885,2.5732347965453,80.9048780487805,4.8,0.695353132322269,,5.57887411117554,18.30825
GBR,2013,43282.2097513788,1.79232221590813,7.525,2.29166666666659,81.0048780487805,4.6,0.669740535540783,,5.52530002593994,18.43752
GBR,2014,44337.6786402733,3.19578246561922,6.11,1.45112016293279,81.3048780487805,4.5,0.736463978721671,,5.60134983062744,16.5528
GBR,2015,44964.3911437292,2.2202583222271,5.301,0.36804684232536,80.9560975609756,4.5,0.792367505802859,,5.55452013015747,
GBR,2016,45482.1782886254,1.9210634135702,4.81,1.0084173681141,81.1560975609756,4.4,0.757874492811929,,5.42795991897583,15.05392
GBR,2017,46373.6385314155,2.65506966811928,4.33,2.55775577557747,81.2560975609756,4.4,0.679374473924223,,5.45256996154785,15.13275
GBR,2018,46740.5535926377,1.40379208588568,3.996,2.29283990345938,81.2560975609756,4.4,0.605929132212552,,5.20437002182007,
GBR,2019,47240.599622327,1.64161099628876,3.737,1.73810460086513,81.4048780487805,4.3,0.564131113399897,,5.26115989685059,
GBR,2020,42191.9173665785,-10.3599008187799,4.472,0.989486703772491,80.3512195121951,4.3,0.365758263815142,,5.43935012817383,
GBR,2021,45889.6110228554,8.67490411442573,4.826,2.51837109614213,80.7,4.2,-0.0819372405302065,,5.90458011627197,
GBR,2022,47343.4743776948,4.34522883436574,3.73,7.92204883147902,82.0585365853659,4.1,1.13444824466953,,4.95917558670044,
IND,2000,755.482294032829,3.84099115659129,7.856,4.0094359104519,62.669,91.7,1.82218400218023,,4.32479000091553,39.99999
IND,2001,777.733660305847,4.82396626555771,8.039,3.77929312235637,63.091,88.1,1.80844642123748,61.0,,40.14999
IND,2002,793.100961792279,3.80397532112175,8.248,4.29715203929563,63.616,84.5,1.77676787418134,,,40.66296
IND,2003,840.81804425498,7.8603814759073,8.397,3.80585899528851,64.094,81.1,1.72426903226703,,3.61340999603271,41.32988
IND,2004,892.3821034885,7.92293661199932,8.551,3.76725173477515,64.524,77.7,1.67281087022876,,3.35254001617432,
IND,2005,947.763435280111,7.92343062148318,8.697,4.24634362031922,64.996,74.4,1.60412916927926,,3.18875002861023,
IND,2006,1008.6671374075,8.06073257166651,8.614,5.79652337561634,65.412,71.1,1.52430796041014,63.0,3.14284992218018,
IND,2007,1070.13153814137,7.6608150670107,8.534,6.37288135593231,65.788,67.8,1.46637175001498,,,
IND,2008,1087.58303554405,3.08669805921981,8.486,8.34926704907581,66.149,64.5,1.42239150883577,,,
IND,2009,1156.88066592664,7.86188883286074,8.406,10.8823529411764,66.513,61.3,1.39119493033754,,3.27824997901917,
IND,2010,1238.01472672193,8.49758470221235,8.318,11.9893899204244,66.909,58.1,1.37759581159767,,3.377690076828,
IND,2011,1285.28304898271,5.24131619938926,8.222,8.91179336483371,67.359,55.0,1.36158808453343,69.0,3.79618000984192,35.15463
IND,2012,1337.47611073826,5.45638755164701,8.156,9.47899691419801,67.887,52.0,1.33219204981494,,4.08479833602905,
IND,2013,1404.54534647065,6.38610640092348,8.088,10.0178784746102,68.46,49.1,1.29754883539168,,3.84467005729675,32.31833
IND,2014,1490.02850762963,7.41022760516408,7.992,6.66565671867899,69.074,46.3,1.24036218382689,,3.89878034591675,31.28855
IND,2015,1590.17433134297,7.99625378566586,7.894,4.90697344127256,69.636,43.6,1.18779532005068,,4.11499166488647,31.49146
IND,2016,1701.18423764708,8.25630550178155,7.8,4.94821634062141,70.117,41.1,1.18504622906796,,4.256516456604,35.21588
IND,2017,1795.9118496797,6.79538341898569,7.723,3.32817337461298,70.467,38.7,1.15562449067646,,4.30639696121216,32.74955
IND,2018,1891.13843545663,6.4538513449766,7.652,3.9388264669163,70.71,36.4,1.08752772157855,,4.3769326210022,
IND,2019,1944.31484844968,3.87143694070957,6.51,3.72950573539129,70.91,34.3,1.02531077187097,,3.89732360839844,
IND,2020,1814.56156970557,-5.77772470687434,7.859,6.62343677628535,70.15,32.4,0.95522085775158,,4.04014158248901,
IND,2021,1974.58060231807,9.68959249191211,6.38,5.13140747176369,67.24,30.6,0.797216093898126,,4.63514137268066,
IND,2022,2098.22093124628,6.98703932576051,4.822,6.69903414079852,67.744,29.1,0.680372581057012,76.0,4.12072849273682,
NZL,2000,30848.1860883256,2.87059022192307,6.13,2.6152344624632,78.6365853658537,7.4,0.587564086381346,,,18.44818
NZL,2001,31713.1301772319,3.41147076988781,5.433,2.62581630392903,78.6926829268293,7.2,0.589286034969052,,,17.45542
NZL,2002,32636.1375503767,4.71384316544561,5.282,2.67709257711605,78.8463414634146,7.0,1.73717486434422,,,17.40515
NZL,2003,33511.5504913352,4.72896774397864,4.745,1.75357444759557,79.1463414634146,6.9,1.97355854434158,,,17.775
NZL,2004,34367.0062362204,4.08825964880346,4.005,2.29024902847571,79.5487804878049,6.7,1.48621908244575,,,16.37427
NZL,2005,35120.7355126427,3.35324144367794,3.807,3.03702332617012,79.8512195121951,6.6,1.12877350967992,,,16.27439
NZL,2006,35659.59616566,2.77957134994847,3.857,3.36540196171993,80.0487804878049,6.5,1.21898486028427,,,15.88598
NZL,2007,36406.1408058787,3.04991051170988,3.661,2.37614310290659,80.1512195121951,6.5,0.932407687512324,,,15.68405
NZL,2008,35651.0156373706,-1.2395351114323,4.167,3.9589493731206,80.3512195121951,6.4,0.848701402422591,,,15.3172
NZL,2009,35278.0407763656,-0.051952422293283,6.121,2.1156511055456,80.7024390243902,6.3,0.999728031208421,,6.54333829879761,14.60815
NZL,2010,35392.017344657,1.44462128410649,6.557,2.30202385958572,80.9048780487805,6.2,1.1117260560215,,6.59741258621216,14.4885
NZL,2011,35910.4173636577,2.24134221542516,6.491,4.0279066739204,81.1560975609756,6.1,0.762479795105218,,6.55125284194946,14.55048
NZL,2012,36531.7484498327,2.2894629674209,6.931,1.05991318445632,81.4073170731707,6.0,0.548220797298334,,6.53085327148438,14.58702
NZL,2013,37252.7570550478,2.76017958953716,5.839,1.13442266445817,81.4048780487805,5.8,0.768347998194806,,5.88855981826782,
NZL,2014,38014.6435529728,3.75431941509395,5.428,1.227507505974,81.4568292682927,5.7,1.66101200071152,,5.80853986740112,14.36696
NZL,2015,38639.3501941427,3.73403577291154,5.415,0.292704628136101,81.6124390243903,5.5,2.0360339086492,,5.70734977722168,14.49628
NZL,2016,39197.327525871,3.74831145236631,5.147,0.646240284454524,81.6585365853659,5.3,2.24603210015584,,5.50559997558594,14.6225
NZL,2017,39691.2133196719,3.39728250444887,4.736,1.85078767452536,81.8585365853659,5.2,2.08872272281936,,5.28000020980835,14.91552
NZL,2018,40350.9122003744,3.49949703045593,4.335,1.59829703801696,81.7073170731707,5.1,1.79124016759035,,5.19308996200562,
NZL,2019,40651.9744673101,2.36196217785604,4.109,1.61963190184048,82.0560975609756,4.9,1.59115889619722,,5.17797994613647,
NZL,2020,39596.5266174221,-0.424906457573115,4.595,1.71456170007245,82.2560975609756,4.8,2.20478869594563,,5.65149021148682,
NZL,2021,41225.7927835812,4.54624763852878,3.776,3.94112060778728,82.2073170731707,4.7,0.413665247040229,,5.54822015762329,
NZL,2022,42320.892439076,2.7748426484212,3.297,7.17222476016441,82.7609756097561,4.6,0.115363946900346,,5.23012018203735,
RUS,2000,5323.66650390625,10.0000668136515,10.581,20.7987606558704,65.4836585365854,19.4,-0.420614990249978,,2.93979001045227,17.58649
RUS,2001,5618.95556640625,5.10005122572568,8.978,21.4770072117159,65.3834146341463,18.4,-0.424090524785415,,3.10601997375488,16.99631
RUS,2002,5910.171875,4.69999190914258,7.875,15.7887307914463,65.1287804878049,17.3,-0.460024258081391,99.0,3.83502006530762,16.95644
RUS,2003,6370.45361328125,7.29995234528189,8.21,13.6632930228666,65.0275609756098,16.1,-0.453780668020263,,3.67853999137878,16.63307
RUS,2004,6856.67822265625,7.19994786954857,7.763,10.8886157326216,65.4709756097561,15.0,-0.402681471328549,,3.54786992073059,
RUS,2005,7323.38525390625,6.39996544799469,7.124,12.6853039507349,65.529756097561,13.9,-0.381452794741516,,3.77192997932434,16.74517
RUS,2006,7949.89697265625,8.20006825456321,7.055,9.66865454789265,66.7275609756098,12.8,-0.327445270108383,,3.86626005172729,17.14697
RUS,2007,8640.40625,8.49997776916511,6.002,9.00729868861079,67.5868292682927,12.0,-0.17108203294568,,,17.12104
RUS,2008,9093.7001953125,5.19996926404957,6.205,14.1107677840442,67.9492682926829,11.3,-0.0439492591634852,,4.10174989700317,17.44699
RUS,2009,8381.8681640625,-7.79999391271275,8.301,11.6473295764118,68.6846341463415,10.7,0.030107060167659,,4.47064161300659,18.06296
RUS,2010,8755.1201171875,4.49999999920672,7.369,6.84939230255025,68.8412195121951,10.4,0.0448964884428055,100.0,3.8476243019104,
RUS,2011,9120.8203125,4.30002918567749,6.536,8.4404648593257,69.6839024390244,10.2,0.118045544446964,,3.71261262893677,
RUS,2012,9464.0107421875,4.02408615746921,5.436,5.07474300799149,70.0721951219512,9.9,0.251575708072649,,3.79310011863708,19.59062
RUS,2013,9601.537109375,1.75542214874298,5.458,6.75371026220942,70.5787804878049,9.5,0.297503474179596,,3.76382994651794,19.82861
RUS,2014,9493.8125,0.736267221765672,5.16,7.82341183865513,70.7436585365854,8.9,0.299667432459938,,4.01387977600098,19.80802
RUS,2015,9277.7138671875,-1.97271922580408,5.571,15.5344050528403,71.1834146341463,8.3,0.279352077762368,,3.83402991294861,20.14375
RUS,2016,9269.3193359375,0.193690071260534,5.559,7.04244762954799,71.6512195121951,7.5,0.258751057379474,,3.76044011116028,20.61869
RUS,2017,9418.9140625,1.82579006401834,5.212,3.68332944412233,72.4514634146342,6.9,0.191382528772924,,4.68990993499756,21.25883
RUS,2018,9674.787109375,2.80724541059601,4.846,2.87829723647884,72.6621951219512,6.3,0.0721356165400605,,4.67819976806641,
RUS,2019,9882.0244140625,2.19807571335009,4.496,4.47036660760173,73.0839024390244,5.8,0.037947213753429,,3.69561433792114,
RUS,2020,9632.3251953125,-2.65365450102773,5.589,3.38165937237898,71.3387804878049,5.4,-0.143202031827637,,4.01641845703125,
RUS,2021,10206.9453125,5.61429037578345,4.715,6.69445891957612,69.900243902439,5.1,-0.343724409889771,100.0,3.99480700492859,
RUS,2022,10030.0390625,-2.06971152527731,3.867,,72.5456097560976,4.8,-0.352843110363082,,4.05402755737305,
USA,2000,48616.25462578,4.07758575804293,3.992,3.37685727149929,76.6365853658537,8.5,1.11276899679534,,6.08564949035645,
USA,2001,48597.4246142005,0.955538346430316,4.731,2.82617111885407,76.8365853658537,8.3,0.989741382223669,,6.29892301559448,
USA,2002,48967.3661201159,1.70044732363073,5.783,1.58603162650601,76.9365853658537,8.2,0.927797485710314,,6.35995531082153,
USA,2003,49905.5233074237,2.795605965883,5.989,2.27009497336115,77.0365853658537,8.1,0.859481712840946,,6.3286075592041,
USA,2004,51348.3473376223,3.84777169205226,5.529,2.67723669309172,77.4878048780488,8.1,0.925483968943482,,6.2537636756897,
USA,2005,52649.5713054684,3.483549937943,5.084,3.3927468454955,77.4878048780488,8.0,0.921713167161207,,6.17098331451416,
USA,2006,53596.3152372,2.78453963938148,4.623,3.22594410070404,77.6878048780488,7.9,0.964253917136075,,6.16402912139893,
USA,2007,54152.8292651299,2.00385829825838,4.622,2.85267248150138,77.9878048780488,7.7,0.951055242772428,,6.24331855773926,
USA,2008,53703.9628961267,0.113587248258867,5.784,3.839100296651,78.0390243902439,7.6,0.945865287282592,,6.43608617782593,
USA,2009,51863.6183411923,-2.57650023426996,9.254,-0.355546266299747,78.390243902439,7.5,0.876651298802912,,6.73869848251343,
USA,2010,52821.4047643404,2.6951925838264,9.633,1.6400434423899,78.5414634146342,7.3,0.829616674709795,,6.6945538520813,
USA,2011,53259.2552138539,1.56440685438301,8.949,3.156841568622,78.6414634146341,7.2,0.726786704810745,,6.49768352508545,
USA,2012,54080.2286497215,2.28911338767897,8.069,2.06933726526067,78.7414634146342,7.1,0.733599941250847,,6.25388622283936,
USA,2013,54844.2425797154,2.11783009919846,7.375,1.46483265562717,78.7414634146342,7.0,0.692860276624581,,6.22925806045532,
USA,2014,55817.5632471958,2.52381981441982,6.168,1.62222297740817,78.8414634146341,6.9,0.733361519937424,,6.12920570373535,14.53749
USA,2015,57040.2082136605,2.94555045455233,5.28,0.118627135552451,78.690243902439,6.8,0.73621730882542,,4.93063020706177,14.45723
USA,2016,57658.6708825722,1.81945147474293,4.869,1.26158320570536,78.5390243902439,6.7,0.724676067451429,,4.78327989578247,
USA,2017,58703.1440782154,2.45762230356996,4.355,2.13011000365961,78.5390243902439,6.6,0.63264399508256,,5.09296989440918,14.19857
USA,2018,60127.2102775233,2.96650507100425,3.896,2.44258329692817,78.6390243902439,6.5,0.526435395564053,,4.89502000808716,
USA,2019,61330.6459767318,2.46703756313913,3.669,1.81221007526021,78.7878048780488,6.5,0.455381285963537,,4.95746994018555,
USA,2020,59394.778327105,-2.21346933290643,8.055,1.23358439630629,76.9804878048781,6.4,0.968999515833015,,5.39998006820679,
USA,2021,62741.0018131151,5.8002061284573,5.349,4.69785886363742,76.3292682926829,6.3,0.157342694282194,,5.42829990386963,
USA,2022,63720.7641611959,1.93549589483209,3.65,8.00279982052121,77.4341463414634,6.3,0.367472693654024,,,
ZAF,2000,4735.66553181957,4.20000000067826,19.841,5.33895102929212,58.47,71.0,0.962864025570883,,4.90881013870239,34.90296
ZAF,2001,4820.64433895753,2.70000000019104,19.725,5.70190018305717,57.261,73.2,0.885660412204392,,4.63617992401123,38.89617
ZAF,2002,4953.7364473103,3.70037440406668,19.658,9.4947107032486,55.666,75.1,0.910100943022538,,4.54569005966187,35.28227
ZAF,2003,5052.90993956202,2.94907546754213,19.728,5.67941771099112,54.331,76.3,0.924209372808693,,4.35209989547729,35.37191
ZAF,2004,5233.86627685538,4.55455990721774,19.634,-0.692030271024132,54.043,77.5,0.935290168887955,,4.50897979736328,35.54274
ZAF,2005,5458.23016635984,5.27705197295467,19.557,2.06284616504634,53.98,79.0,0.945094240817718,,4.52449989318848,31.39262
ZAF,2006,5708.82308621003,5.60380645895889,19.425,3.24390776468065,54.278,78.7,0.963593457802097,,4.52651977539062,33.04696
ZAF,2007,5954.16804814954,5.36047405394162,19.39,6.17780683499409,54.992,74.5,1.01387721267549,89.0,4.4466700553894,33.19107
ZAF,2008,6074.94267195276,3.1910438863288,19.507,10.0745755249182,56.022,67.9,1.13308133870917,,4.37424993515015,32.71282
ZAF,2009,5910.78824576381,-1.53808913525583,20.512,7.21531413612566,57.447,60.0,1.18929507013328,93.0,4.76118993759155,33.57812
ZAF,2010,6018.23075370279,3.03973288127956,23.181,4.08972989470464,58.899,51.6,1.19303600363508,93.0,5.13497018814087,29.51018
ZAF,2011,6130.97136731323,3.16855627858818,21.416,4.9992669696526,60.651,45.5,1.26340561811428,93.0,5.28898000717163,32.59666
ZAF,2012,6194.99275876379,2.39623238465745,21.786,5.72465791678297,61.846,41.7,1.32915852455183,94.0,5.52323007583618,32.93793
ZAF,2013,6263.10433363432,2.48546800826588,22.038,5.78446909667201,62.533,39.8,1.36162110707575,,5.35071992874146,32.02921
ZAF,2014,6252.31797718806,1.41382645223793,22.606,6.12983770287141,63.38,38.6,1.57629422132566,94.0,5.48977994918823,32.76808
ZAF,2015,6204.92990145846,1.32186223678229,22.869,4.54064227737906,63.95,37.8,2.07401685853513,94.0,5.48285007476807,30.3322
ZAF,2016,6185.74604725477,0.664552307858116,24.023,6.57139642173964,64.747,37.2,0.97200398206436,91.7372436523438,5.4442400932312,
ZAF,2017,6233.18710776586,1.15794695181735,23.992,5.18424664766128,65.402,36.6,0.387278487857363,87.0,5.59867000579834,
ZAF,2018,6253.11899645914,1.55678384721676,24.218,4.51716522786592,65.674,36.1,1.22553003994341,,5.64401006698608,
ZAF,2019,6188.70355773203,0.25993557687633,25.538,4.12024587014984,66.175,35.6,1.29507386292128,95.0,5.91158008575439,
ZAF,2020,5748.89784488027,-5.96335818439407,24.339,3.21003597454107,65.252,35.3,1.22317929511453,,6.17067003250122,
ZAF,2021,5959.44365737965,4.70306206485731,28.77,4.61167217803206,62.341,34.7,0.998920418563044,90.0,6.54902982711792,
ZAF,2022,6022.42750832719,1.91040617007184,28.838,7.03972661255866,61.48,34.5,0.841058243677696,,6.16726016998291,
